Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Performance_Score,Remote_Work,Phone_formatted,Salary_Formatted,Age_Formatted,Role,Department
EMP1018,Charlie,Garcia,Missing,Cloud Tech-Nevada,Inactive,'2024-09-19',94726.46,charlie.garcia@gmail.com,Excellent,F,+2044397358,"USD 94,726.46",30,Cloud Tech,Nevada
EMP1019,Charlie,Williams,35,Admin-Illinois,Pending,'2020-01-02',91926.12,charlie.williams@gmail.com,Average,T,+7107256365,"USD 91,926.12",35,Admin,Illinois
EMP1020,Bob,Miller,35,HR-New York,Active,'2021-05-08',111460.67,bob.miller@gmail.com,Excellent,T,+9411800536,"USD 111,460.67",35,HR,New York
EMP1021,Bob,Jones,40,Cloud Tech-Illinois,Active,'2020-09-19',96182.56,bob.jones@gmail.com,Good,F,+5990048963,"USD 96,182.56",40,Cloud Tech,Illinois
EMP1022,Charlie,Johnson,35,Sales-Illinois,Inactive,'2021-03-09',115023.94,charlie.johnson@gmail.com,Average,T,+6528092427,"USD 115,023.94",35,Sales,Illinois
EMP1023,David,Garcia,35,Finance-Nevada,Pending,'2022-02-03',80667.01,david.garcia@gmail.com,Excellent,F,+7572158623,"USD 80,667.01",35,Finance,Nevada
EMP1024,Bob,Brown,30,Admin-Texas,Inactive,'2020-02-13',91181.61,bob.brown@gmail.com,Good,T,+1502745643,"USD 91,181.61",30,Admin,Texas
EMP1025,David,Miller,25,Cloud Tech-Nevada,Pending,'2020-04-30',66025.92,david.miller@gmail.com,Average,F,+9485625727,"USD 66,025.92",25,Cloud Tech,Nevada
EMP1026,Frank,Miller,25,Sales-New York,Inactive,'2023-10-02',83979.01,frank.miller@gmail.com,Average,F,+7032032073,"USD 83,979.01",25,Sales,New York
EMP1027,Heidi,Johnson,30,Finance-Florida,Active,'2020-07-12',56785.16,heidi.johnson@gmail.com,Excellent,T,+2761707586,"USD 56,785.16",30,Finance,Florida
EMP1028,Grace,Garcia,40,Finance-Nevada,Active,'2023-10-11',95741.88,grace.garcia@gmail.com,Excellent,F,+7712151341,"USD 95,741.88",40,Finance,Nevada
EMP1029,Alice,Brown,40,DevOps-California,Active,'2021-05-24',63411.31,alice.brown@gmail.com,Excellent,T,+2849939088,"USD 63,411.31",40,DevOps,California
EMP1030,Charlie,Jones,40,Admin-California,Inactive,'2021-05-26',111214.02,charlie.jones@gmail.com,Good,T,+2613715040,"USD 111,214.02",40,Admin,California
EMP1031,Bob,Smith,25,DevOps-Illinois,Active,'2020-07-10',114845.69,bob.smith@gmail.com,Excellent,T,+6591520176,"USD 114,845.69",25,DevOps,Illinois
EMP1032,Charlie,Brown,40,Finance-Florida,Active,'2024-11-05',78072.82,charlie.brown@gmail.com,Average,F,+7490509758,"USD 78,072.82",40,Finance,Florida
EMP1033,Grace,Johnson,25,Finance-California,Inactive,'2021-08-07',79610.52,grace.johnson@gmail.com,Average,F,+2304501895,"USD 79,610.52",25,Finance,California
EMP1034,Heidi,Miller,30,Admin-California,Active,'2020-04-29',90542.62,heidi.miller@gmail.com,Excellent,T,+1642361031,"USD 90,542.62",30,Admin,California
EMP1035,Frank,Jones,25,Cloud Tech-Illinois,Inactive,'2022-10-26',114357.1,frank.jones@gmail.com,Excellent,T,+6642147648,"USD 114,357.10",25,Cloud Tech,Illinois
EMP1036,Alice,Brown,Missing,Cloud Tech-New York,Active,'2023-05-03',54757.26,alice.brown@gmail.com,Poor,F,+2515837766,"USD 54,757.26",30,Cloud Tech,New York
EMP1037,Grace,Smith,25,Sales-New York,Pending,'2023-05-02',52781.92,grace.smith@gmail.com,Average,T,+4996165925,"USD 52,781.92",25,Sales,New York
EMP1038,Frank,Smith,35,Admin-Nevada,Pending,'2021-10-05',66708.02,frank.smith@gmail.com,Good,T,+6108573277,"USD 66,708.02",35,Admin,Nevada
EMP1039,Eva,Williams,40,HR-Texas,Active,'2022-07-27',93481.15,eva.williams@gmail.com,Poor,F,+8147617421,"USD 93,481.15",40,HR,Texas
EMP1040,Bob,Williams,25,Sales-New York,Pending,'2021-06-27',59271.96,bob.williams@gmail.com,Excellent,T,+4386490809,"USD 59,271.96",25,Sales,New York
EMP1041,Bob,Davis,30,HR-California,Active,'2022-06-16',108362.15,bob.davis@gmail.com,Excellent,F,+8186617944,"USD 108,362.15",30,HR,California
EMP1042,Alice,Johnson,Missing,HR-Nevada,Active,'2024-12-03',59400.38,alice.johnson@gmail.com,Average,T,+4918017225,"USD 59,400.38",30,HR,Nevada
EMP1043,Bob,Garcia,Missing,Admin-California,Inactive,'2023-05-23',64744.08,bob.garcia@gmail.com,Excellent,F,+1164597793,"USD 64,744.08",30,Admin,California
EMP1044,Eva,Brown,Missing,Finance-California,Active,'2020-07-08',94399.91,eva.brown@gmail.com,Good,T,+5232194167,"USD 94,399.91",30,Finance,California
EMP1045,Alice,Brown,25,HR-New York,Pending,'2021-06-20',61310.74,alice.brown@gmail.com,Average,T,,"USD 61,310.74",25,HR,New York
EMP1046,Grace,Garcia,Missing,Cloud Tech-Texas,Active,'2024-12-13',98371.37,grace.garcia@gmail.com,Excellent,F,+7499564121,"USD 98,371.37",30,Cloud Tech,Texas
EMP1047,Alice,Davis,35,Sales-Illinois,Active,'2022-05-30',58921.19,alice.davis@gmail.com,Average,T,+1310303722,"USD 58,921.19",35,Sales,Illinois
EMP1048,Alice,Miller,35,Admin-Nevada,Active,'2023-09-27',57195.55,alice.miller@gmail.com,Excellent,F,+6831472759,"USD 57,195.55",35,Admin,Nevada
EMP1049,Grace,Miller,Missing,DevOps-New York,Active,'2024-11-05',61375.12,grace.miller@gmail.com,Excellent,T,+1227770792,"USD 61,375.12",30,DevOps,New York
EMP1050,Charlie,Davis,40,Cloud Tech-New York,Pending,'2021-11-11',104767.05,charlie.davis@gmail.com,Excellent,F,+3496050165,"USD 104,767.05",40,Cloud Tech,New York
EMP1051,David,Miller,35,Admin-Nevada,Active,'2022-02-22',111051.67,david.miller@gmail.com,Good,F,+7998407677,"USD 111,051.67",35,Admin,Nevada
EMP1052,David,Williams,30,Finance-California,Inactive,'2024-08-07',105674.18,david.williams@gmail.com,Good,F,+9973080694,"USD 105,674.18",30,Finance,California
EMP1053,Alice,Brown,30,Finance-California,Inactive,'2024-11-05',54859.45,alice.brown@gmail.com,Average,F,+8146717956,"USD 54,859.45",30,Finance,California
EMP1054,Frank,Davis,Missing,Finance-Nevada,Pending,'2021-11-09',115746.6,frank.davis@gmail.com,Excellent,T,+6024375737,"USD 115,746.60",30,Finance,Nevada
EMP1055,Eva,Brown,30,Sales-California,Active,'2020-08-10',91759.99,eva.brown@gmail.com,Excellent,T,+3959724664,"USD 91,759.99",30,Sales,California
EMP1056,Frank,Garcia,40,Sales-Illinois,Active,'2022-02-27',112965.33,frank.garcia@gmail.com,Good,F,+7293417222,"USD 112,965.33",40,Sales,Illinois
EMP1057,Alice,Smith,40,Cloud Tech-Illinois,Pending,'2023-11-07',100360.1,alice.smith@gmail.com,Excellent,F,+2971674337,"USD 100,360.10",40,Cloud Tech,Illinois
EMP1058,David,Williams,35,Finance-Texas,Pending,'2021-11-07',93620.88,david.williams@gmail.com,Good,F,,"USD 93,620.88",35,Finance,Texas
EMP1059,Bob,Jones,35,Sales-California,Pending,'2022-04-16',72832.8,bob.jones@gmail.com,Excellent,T,+5619318373,"USD 72,832.80",35,Sales,California
EMP1060,Charlie,Williams,30,Finance-Nevada,Inactive,'2023-10-19',102369.42,charlie.williams@gmail.com,Average,T,+5508428909,"USD 102,369.42",30,Finance,Nevada
EMP1061,Eva,Davis,40,Sales-Texas,Inactive,'2021-08-10',64712.79,eva.davis@gmail.com,Excellent,T,+7711991807,"USD 64,712.79",40,Sales,Texas
EMP1062,Frank,Jones,40,Finance-Florida,Pending,'2021-03-13',85782.18,frank.jones@gmail.com,Excellent,T,+1213524786,"USD 85,782.18",40,Finance,Florida
EMP1063,Charlie,Smith,25,HR-Illinois,Pending,'2023-07-20',93348.26,charlie.smith@gmail.com,Poor,F,+1255213759,"USD 93,348.26",25,HR,Illinois
EMP1064,David,Davis,35,Admin-New York,Active,'2020-02-20',53234.96,david.davis@gmail.com,Good,F,+3754821455,"USD 53,234.96",35,Admin,New York
EMP1065,Bob,Johnson,40,Finance-Nevada,Pending,'2021-02-02',100284.21,bob.johnson@gmail.com,Excellent,F,+5328632665,"USD 100,284.21",40,Finance,Nevada
EMP1066,Grace,Brown,30,Admin-Nevada,Pending,'2020-01-12',112486.19,grace.brown@gmail.com,Excellent,T,+7850720810,"USD 112,486.19",30,Admin,Nevada
EMP1067,Bob,Smith,40,Admin-New York,Pending,'2022-11-26',82518.49,bob.smith@gmail.com,Poor,T,+5562606028,"USD 82,518.49",40,Admin,New York
EMP1068,Bob,Brown,40,Admin-Florida,Pending,'2022-12-23',119152.47,bob.brown@gmail.com,Poor,T,+1846684549,"USD 119,152.47",40,Admin,Florida
EMP1069,Heidi,Miller,Missing,DevOps-Illinois,Inactive,'2024-08-28',113479.83,heidi.miller@gmail.com,Good,F,+4892673898,"USD 113,479.83",30,DevOps,Illinois
EMP1070,Charlie,Johnson,40,Finance-California,Active,'2024-09-16',94636.3,charlie.johnson@gmail.com,Poor,F,+7563410855,"USD 94,636.30",40,Finance,California
EMP1071,Heidi,Johnson,30,HR-Florida,Active,'2024-01-01',70000.97,heidi.johnson@gmail.com,Average,T,+2884318847,"USD 70,000.97",30,HR,Florida
EMP1072,Frank,Smith,Missing,Cloud Tech-New York,Active,'2021-04-18',76812.47,frank.smith@gmail.com,Poor,F,+5200894345,"USD 76,812.47",30,Cloud Tech,New York
EMP1073,David,Johnson,25,Finance-Florida,Inactive,'2023-01-16',82614.7,david.johnson@gmail.com,Average,T,+8105485100,"USD 82,614.70",25,Finance,Florida
EMP1074,Grace,Jones,40,Sales-Nevada,Active,'2024-10-20',111645.97,grace.jones@gmail.com,Good,T,+7490753997,"USD 111,645.97",40,Sales,Nevada
EMP1075,Heidi,Johnson,25,HR-California,Inactive,'2024-10-13',112414.91,heidi.johnson@gmail.com,Good,F,+9354492682,"USD 112,414.91",25,HR,California
EMP1076,David,Brown,40,Admin-California,Inactive,'2022-09-21',52031.74,david.brown@gmail.com,Good,T,+1589357125,"USD 52,031.74",40,Admin,California
EMP1077,Grace,Brown,30,Finance-New York,Pending,'2022-12-29',51887.65,grace.brown@gmail.com,Good,F,+6110627370,"USD 51,887.65",30,Finance,New York
EMP1078,Alice,Davis,25,DevOps-Florida,Active,'2024-11-10',82318.89,alice.davis@gmail.com,Good,T,+5869886496,"USD 82,318.89",25,DevOps,Florida
EMP1079,Grace,Brown,35,Admin-Florida,Inactive,'2021-11-22',103286.08,grace.brown@gmail.com,Average,F,+6776228276,"USD 103,286.08",35,Admin,Florida
EMP1080,Grace,Davis,35,Cloud Tech-Florida,Active,'2024-03-14',87759.33,grace.davis@gmail.com,Average,F,+2881377027,"USD 87,759.33",35,Cloud Tech,Florida
EMP1081,Frank,Brown,30,DevOps-Texas,Pending,'2020-03-23',102796.32,frank.brown@gmail.com,Good,F,+5196115939,"USD 102,796.32",30,DevOps,Texas
EMP1082,David,Jones,25,Sales-New York,Active,'2020-09-15',83149.27,david.jones@gmail.com,Poor,T,+8215454469,"USD 83,149.27",25,Sales,New York
EMP1083,David,Garcia,40,DevOps-California,Inactive,'2020-12-09',92412.49,david.garcia@gmail.com,Excellent,T,+2296044326,"USD 92,412.49",40,DevOps,California
EMP1084,Bob,Davis,30,HR-Texas,Pending,'2020-02-22',115022.1,bob.davis@gmail.com,Good,F,+1185106793,"USD 115,022.10",30,HR,Texas
EMP1085,Grace,Williams,40,DevOps-New York,Active,'2023-04-27',98343.01,grace.williams@gmail.com,Poor,F,+9756792286,"USD 98,343.01",40,DevOps,New York
EMP1086,Bob,Miller,35,DevOps-Illinois,Active,'2024-06-18',118869.1,bob.miller@gmail.com,Excellent,T,+7725199662,"USD 118,869.10",35,DevOps,Illinois
EMP1087,Frank,Smith,Missing,Finance-Nevada,Inactive,'2020-05-21',85417.26,frank.smith@gmail.com,Good,T,+6580741208,"USD 85,417.26",30,Finance,Nevada
EMP1088,Grace,Brown,40,Cloud Tech-Florida,Inactive,'2023-07-25',112410.25,grace.brown@gmail.com,Good,T,+4818139889,"USD 112,410.25",40,Cloud Tech,Florida
EMP1089,Charlie,Johnson,40,Admin-Nevada,Pending,'2023-08-25',68905.77,charlie.johnson@gmail.com,Average,F,+9837801819,"USD 68,905.77",40,Admin,Nevada
EMP1090,Heidi,Garcia,40,Finance-Nevada,Pending,'2021-07-03',72561.32,heidi.garcia@gmail.com,Excellent,T,+4339718955,"USD 72,561.32",40,Finance,Nevada
EMP1091,Bob,Brown,35,Finance-New York,Inactive,'2023-03-13',92723.22,bob.brown@gmail.com,Excellent,T,+9070562607,"USD 92,723.22",35,Finance,New York
EMP1092,Alice,Johnson,40,HR-New York,Inactive,'2021-03-10',74837.75,alice.johnson@gmail.com,Poor,F,+5641118241,"USD 74,837.75",40,HR,New York
EMP1093,Eva,Miller,Missing,DevOps-California,Pending,'2020-01-21',86163.91,eva.miller@gmail.com,Average,T,+2412462094,"USD 86,163.91",30,DevOps,California
EMP1094,David,Miller,40,Finance-Illinois,Active,'2023-11-15',83326.52,david.miller@gmail.com,Average,T,+2004615264,"USD 83,326.52",40,Finance,Illinois
EMP1095,Heidi,Miller,25,Cloud Tech-California,Active,'2022-04-08',98425.1,heidi.miller@gmail.com,Average,T,+4610339936,"USD 98,425.10",25,Cloud Tech,California
EMP1096,Frank,Johnson,40,Sales-Illinois,Inactive,'2022-05-21',119764.2,frank.johnson@gmail.com,Average,F,+8861405785,"USD 119,764.20",40,Sales,Illinois
EMP1097,Frank,Brown,40,HR-California,Inactive,'2021-04-17',58445.91,frank.brown@gmail.com,Excellent,F,+1706304890,"USD 58,445.91",40,HR,California
EMP1098,Bob,Miller,Missing,DevOps-New York,Active,'2021-03-19',101702.33,bob.miller@gmail.com,Excellent,F,+3824967182,"USD 101,702.33",30,DevOps,New York
EMP1099,Eva,Jones,25,Admin-California,Active,'2022-01-09',,eva.jones@gmail.com,Good,F,+2582386869,No Salary,25,Admin,California
EMP1100,Charlie,Davis,35,Cloud Tech-Texas,Pending,'2021-08-21',98819.22,charlie.davis@gmail.com,Good,F,+1794200748,"USD 98,819.22",35,Cloud Tech,Texas
EMP1101,Heidi,Johnson,25,Cloud Tech-Illinois,Inactive,'2022-08-19',83509.99,heidi.johnson@gmail.com,Average,F,+4653984027,"USD 83,509.99",25,Cloud Tech,Illinois
EMP1102,Alice,Johnson,35,Finance-Texas,Active,'2022-03-31',84422.26,alice.johnson@gmail.com,Average,F,+9141612845,"USD 84,422.26",35,Finance,Texas
EMP1103,Alice,Brown,30,Admin-Illinois,Inactive,'2020-06-23',119574.27,alice.brown@gmail.com,Average,T,+3985547434,"USD 119,574.27",30,Admin,Illinois
EMP1104,Grace,Johnson,Missing,Sales-Illinois,Active,'2024-05-07',86580.08,grace.johnson@gmail.com,Good,T,+5379502096,"USD 86,580.08",30,Sales,Illinois
EMP1105,Heidi,Johnson,35,Sales-Florida,Inactive,'2023-03-10',93471.91,heidi.johnson@gmail.com,Poor,F,,"USD 93,471.91",35,Sales,Florida
EMP1106,Bob,Miller,30,DevOps-New York,Inactive,'2023-09-14',55683.12,bob.miller@gmail.com,Poor,T,+8071569561,"USD 55,683.12",30,DevOps,New York
EMP1107,Bob,Brown,30,Cloud Tech-Florida,Inactive,'2023-11-12',91566.78,bob.brown@gmail.com,Good,T,+1175370303,"USD 91,566.78",30,Cloud Tech,Florida
EMP1108,David,Miller,35,DevOps-California,Pending,'2024-10-26',81782.19,david.miller@gmail.com,Good,F,+5319433749,"USD 81,782.19",35,DevOps,California
EMP1109,Eva,Davis,Missing,DevOps-New York,Inactive,'2020-08-23',88119.37,eva.davis@gmail.com,Good,T,+4793036148,"USD 88,119.37",30,DevOps,New York
EMP1110,Eva,Garcia,30,Cloud Tech-Texas,Active,'2024-06-11',71532.83,eva.garcia@gmail.com,Good,T,+8728399920,"USD 71,532.83",30,Cloud Tech,Texas
EMP1111,Eva,Davis,40,Cloud Tech-Florida,Pending,'2021-09-14',98981.36,eva.davis@gmail.com,Good,T,+9212493842,"USD 98,981.36",40,Cloud Tech,Florida
EMP1112,Heidi,Garcia,40,Cloud Tech-Illinois,Active,'2024-12-26',80242.01,heidi.garcia@gmail.com,Good,T,+1894870604,"USD 80,242.01",40,Cloud Tech,Illinois
EMP1113,Eva,Miller,25,Cloud Tech-New York,Pending,'2024-09-08',110236.18,eva.miller@gmail.com,Average,T,+6641877579,"USD 110,236.18",25,Cloud Tech,New York
EMP1114,Alice,Davis,35,Sales-Texas,Active,'2022-08-21',86327.47,alice.davis@gmail.com,Average,F,+3046875062,"USD 86,327.47",35,Sales,Texas
EMP1115,Eva,Brown,30,Sales-Florida,Pending,'2024-07-25',84420.81,eva.brown@gmail.com,Average,F,+5190361331,"USD 84,420.81",30,Sales,Florida
EMP1116,Frank,Smith,40,HR-California,Pending,'2020-08-02',110041.32,frank.smith@gmail.com,Average,F,+5411076094,"USD 110,041.32",40,HR,California
EMP1117,Heidi,Miller,35,DevOps-Florida,Pending,'2020-03-16',81837.81,heidi.miller@gmail.com,Good,T,+4317350582,"USD 81,837.81",35,DevOps,Florida
EMP1118,Frank,Garcia,25,Finance-Illinois,Active,'2023-09-08',110855.72,frank.garcia@gmail.com,Poor,F,+1997179109,"USD 110,855.72",25,Finance,Illinois
EMP1119,Alice,Jones,30,Sales-California,Pending,'2024-03-29',84894.52,alice.jones@gmail.com,Excellent,T,+1651207048,"USD 84,894.52",30,Sales,California
EMP1120,Alice,Garcia,30,HR-Illinois,Active,'2021-08-12',80668.13,alice.garcia@gmail.com,Good,T,+6110804660,"USD 80,668.13",30,HR,Illinois
EMP1121,Bob,Jones,25,DevOps-Illinois,Active,'2023-12-24',61086.47,bob.jones@gmail.com,Excellent,T,+9639907675,"USD 61,086.47",25,DevOps,Illinois
EMP1122,Grace,Johnson,25,Admin-Texas,Inactive,'2020-08-28',95339.68,grace.johnson@gmail.com,Poor,T,+9915078592,"USD 95,339.68",25,Admin,Texas
EMP1123,Eva,Davis,Missing,DevOps-California,Inactive,'2024-09-05',83774.97,eva.davis@gmail.com,Average,F,+1109193927,"USD 83,774.97",30,DevOps,California
EMP1124,Heidi,Jones,Missing,Admin-Florida,Active,'2023-05-12',85576.86,heidi.jones@gmail.com,Poor,F,+4567972319,"USD 85,576.86",30,Admin,Florida
EMP1125,Bob,Garcia,35,Finance-California,Pending,'2021-07-01',107438.46,bob.garcia@gmail.com,Good,T,+1249685497,"USD 107,438.46",35,Finance,California
EMP1126,Eva,Johnson,Missing,Sales-Nevada,Inactive,'2024-11-07',60401.68,eva.johnson@gmail.com,Average,F,+2274954507,"USD 60,401.68",30,Sales,Nevada
EMP1127,Frank,Smith,35,Sales-Illinois,Inactive,'2022-07-21',115299.66,frank.smith@gmail.com,Good,T,+9203880652,"USD 115,299.66",35,Sales,Illinois
EMP1128,David,Brown,Missing,Finance-New York,Inactive,'2020-03-30',72272.34,david.brown@gmail.com,Average,F,+3315377958,"USD 72,272.34",30,Finance,New York
EMP1129,Grace,Brown,40,DevOps-Nevada,Active,'2022-10-11',117537.71,grace.brown@gmail.com,Excellent,F,+9594652169,"USD 117,537.71",40,DevOps,Nevada
EMP1130,Frank,Brown,25,Finance-Texas,Pending,'2022-07-24',51074.33,frank.brown@gmail.com,Excellent,T,+7303379336,"USD 51,074.33",25,Finance,Texas
EMP1131,Charlie,Jones,25,Finance-California,Inactive,'2023-06-30',98489.32,charlie.jones@gmail.com,Excellent,F,+5636205014,"USD 98,489.32",25,Finance,California
EMP1132,Frank,Smith,Missing,Finance-California,Pending,'2024-01-11',112120.71,frank.smith@gmail.com,Poor,T,+1812473949,"USD 112,120.71",30,Finance,California
EMP1133,Alice,Jones,Missing,Cloud Tech-New York,Pending,'2023-11-02',114465.04,alice.jones@gmail.com,Good,F,+1334234257,"USD 114,465.04",30,Cloud Tech,New York
EMP1134,Bob,Davis,40,Cloud Tech-Nevada,Pending,'2024-11-22',57035.51,bob.davis@gmail.com,Poor,T,+3230241025,"USD 57,035.51",40,Cloud Tech,Nevada
EMP1135,Eva,Jones,25,Cloud Tech-California,Active,'2021-08-23',75092.43,eva.jones@gmail.com,Excellent,T,+1534735527,"USD 75,092.43",25,Cloud Tech,California
EMP1136,David,Smith,Missing,Finance-Illinois,Pending,'2024-06-11',62603.98,david.smith@gmail.com,Good,F,+9611223385,"USD 62,603.98",30,Finance,Illinois
EMP1137,Grace,Smith,Missing,DevOps-New York,Inactive,'2023-04-09',60018.24,grace.smith@gmail.com,Excellent,F,+5596309937,"USD 60,018.24",30,DevOps,New York
EMP1138,Eva,Davis,40,HR-Nevada,Active,'2024-07-05',82567.73,eva.davis@gmail.com,Poor,T,+4253042896,"USD 82,567.73",40,HR,Nevada
EMP1139,Charlie,Smith,25,Finance-California,Pending,'2021-09-04',94725.71,charlie.smith@gmail.com,Poor,F,+3179128684,"USD 94,725.71",25,Finance,California
EMP1140,Eva,Garcia,40,HR-New York,Inactive,'2024-10-13',83824.56,eva.garcia@gmail.com,Poor,F,+7872558776,"USD 83,824.56",40,HR,New York
EMP1141,Frank,Smith,Missing,HR-Nevada,Inactive,'2020-02-14',118456.11,frank.smith@gmail.com,Excellent,T,+4969033372,"USD 118,456.11",30,HR,Nevada
EMP1142,Eva,Brown,25,Sales-Nevada,Pending,'2020-04-10',113743.19,eva.brown@gmail.com,Good,T,+6346692547,"USD 113,743.19",25,Sales,Nevada
EMP1143,Eva,Garcia,30,Sales-California,Active,'2023-07-27',63309.24,eva.garcia@gmail.com,Good,F,+1214785389,"USD 63,309.24",30,Sales,California
EMP1144,Charlie,Garcia,25,DevOps-Nevada,Active,'2021-09-24',105202.73,charlie.garcia@gmail.com,Excellent,T,+7895677664,"USD 105,202.73",25,DevOps,Nevada
EMP1145,Frank,Davis,30,Cloud Tech-California,Inactive,'2024-03-10',79085.22,frank.davis@gmail.com,Good,T,+7546027340,"USD 79,085.22",30,Cloud Tech,California
EMP1146,Frank,Williams,Missing,Sales-California,Active,'2021-06-10',113983.43,frank.williams@gmail.com,Excellent,T,+5148881430,"USD 113,983.43",30,Sales,California
EMP1147,Eva,Williams,35,Cloud Tech-Florida,Active,'2020-10-15',102790.6,eva.williams@gmail.com,Good,F,+1150835353,"USD 102,790.60",35,Cloud Tech,Florida
EMP1148,Grace,Smith,Missing,HR-Texas,Inactive,'2020-01-29',68512.1,grace.smith@gmail.com,Average,F,+4439284043,"USD 68,512.10",30,HR,Texas
EMP1149,Frank,Garcia,35,Sales-Florida,Pending,'2022-01-30',57584.23,frank.garcia@gmail.com,Average,T,+5669078262,"USD 57,584.23",35,Sales,Florida
EMP1150,Alice,Williams,Missing,Sales-California,Pending,'2021-03-29',95335.67,alice.williams@gmail.com,Poor,F,+3373898774,"USD 95,335.67",30,Sales,California
EMP1151,Heidi,Williams,35,DevOps-Florida,Active,'2020-10-13',53174.28,heidi.williams@gmail.com,Average,T,+1536637779,"USD 53,174.28",35,DevOps,Florida
EMP1152,Heidi,Smith,25,Cloud Tech-New York,Pending,'2020-10-04',77205.21,heidi.smith@gmail.com,Average,F,+5292407552,"USD 77,205.21",25,Cloud Tech,New York
EMP1153,Grace,Williams,Missing,DevOps-Nevada,Active,'2024-12-18',79041.92,grace.williams@gmail.com,Average,T,+6668459089,"USD 79,041.92",30,DevOps,Nevada
EMP1154,Heidi,Jones,Missing,Finance-California,Active,'2023-11-14',75937.1,heidi.jones@gmail.com,Excellent,T,+2259999662,"USD 75,937.10",30,Finance,California
EMP1155,David,Johnson,35,Cloud Tech-Nevada,Inactive,'2023-01-20',113118.73,david.johnson@gmail.com,Average,F,+6186371596,"USD 113,118.73",35,Cloud Tech,Nevada
EMP1156,Alice,Davis,40,HR-New York,Active,'2024-10-02',107693.38,alice.davis@gmail.com,Average,T,+4121820969,"USD 107,693.38",40,HR,New York
EMP1157,David,Johnson,Missing,Cloud Tech-Texas,Inactive,'2021-05-13',119217.46,david.johnson@gmail.com,Poor,F,+2316433480,"USD 119,217.46",30,Cloud Tech,Texas
EMP1158,David,Smith,25,Sales-New York,Pending,'2021-03-18',106913.71,david.smith@gmail.com,Average,F,+7058025661,"USD 106,913.71",25,Sales,New York
